Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_1_LLC_total_miss,Core_1_LLC_load_miss,Core_1_LLC_RFO_miss,Core_1_LLC_writeback_miss,Core_2_LLC_total_miss,Core_2_LLC_load_miss,Core_2_LLC_RFO_miss,Core_2_LLC_writeback_miss,Core_3_LLC_total_miss,Core_3_LLC_load_miss,Core_3_LLC_RFO_miss,Core_3_LLC_writeback_miss,Filter
cassandra_phase0_4T,nopref,0.34481,0.31385,0.34978,0.33717,1055170,822399,81155,151616,1090950,865710,78609,146631,1032766,821759,63169,147838,1020401,796999,72296,151106,1
cassandra_phase0_4T,spp,0.36097,0.32929,0.3663,0.34933,1448741,548648,97829,35816,1449702,576041,86304,28113,1461028,552654,74394,26562,1488926,574230,86903,30340,1
cassandra_phase0_4T,bingo,0.35647,0.32697,0.36139,0.34482,1482480,533540,95398,92302,1510241,560898,84842,88940,1424830,528624,72499,78707,1510214,564352,85185,82811,1
cassandra_phase0_4T,mlop,0.34912,0.3176,0.35345,0.33745,4679887,543305,96399,70511,4582450,580842,84699,62374,4627689,552734,73715,60392,4695461,570601,84457,61849,1
cassandra_phase0_4T,pythia,0.37213,0.33956,0.37842,0.3604,1467175,388022,87023,150729,1469021,405379,74327,138792,1430626,387717,64357,148109,1482329,407845,74219,147822,1
cassandra_phase0_4T,imp_pythia,0.37233,0.33956,0.37744,0.3605,1496556,390984,86974,149875,1519441,409719,76609,136280,1483861,399928,65909,146337,1528239,412296,75529,142393,1
cassandra_phase0_4T,dspatch,0.34769,0.32116,0.35422,0.33929,2492055,659309,100263,138660,2751476,644588,85644,113378,2473203,648504,79264,131651,2617016,660650,87941,131564,1
cassandra_phase0_4T,ppf,0.36932,0.33742,0.37438,0.35757,2021971,405753,92429,156778,2115468,415854,82438,140308,2000105,415366,72136,151447,2099081,424728,82016,150110,1
cassandra_phase1_4T,nopref,0.31854,0.30616,0.34254,0.31908,1074397,831986,85733,156678,1080802,849573,89665,141564,1055486,818511,86603,150372,1091283,848641,94928,147714,1
cassandra_phase1_4T,spp,0.3276,0.32043,0.35813,0.33402,1498442,594109,91318,33270,1440590,561067,100017,28925,1477744,540354,97554,32610,1479402,558768,103063,30859,1
cassandra_phase1_4T,bingo,0.32788,0.31808,0.35192,0.32925,1511316,557494,90633,87455,1530923,551654,100338,85278,1524995,540386,95608,83076,1518125,565105,102871,88889,1
cassandra_phase1_4T,mlop,0.31663,0.31124,0.34731,0.32382,4901940,592784,89930,64935,4575986,546504,99738,63362,4679107,534359,94341,65229,4679732,550423,99534,68456,1
cassandra_phase1_4T,pythia,0.33629,0.3297,0.36798,0.34368,1534138,438723,82177,152151,1478306,402165,90953,133485,1479636,394463,87653,151071,1510107,400025,93599,148074,1
cassandra_phase1_4T,imp_pythia,0.33614,0.33016,0.36825,0.34359,1596160,443102,81979,153261,1495338,402115,89505,130506,1485744,397486,88569,147861,1567124,405030,96202,142204,1
cassandra_phase1_4T,dspatch,0.31663,0.3087,0.34247,0.32085,2761540,700820,93837,140357,2902223,682740,102129,108919,2608106,687527,99993,132554,2677449,684850,104994,135864,1
cassandra_phase1_4T,ppf,0.33325,0.32754,0.36477,0.34026,2241795,450751,86236,150027,2239464,411336,96739,132799,2132320,414243,91968,154488,2170775,420409,98672,144083,1
cassandra_phase2_4T,nopref,0.31283,0.29851,0.32263,0.33028,1002353,758364,74926,169063,1107380,854277,92092,161011,995035,761625,71864,161546,975130,747450,75645,152035,1
cassandra_phase2_4T,spp,0.31984,0.31404,0.33686,0.34915,1323955,541662,89494,39562,1427851,522791,99960,41037,1270178,505849,77826,35912,1272638,471760,87728,38116,1
