Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_1_LLC_total_miss,Core_1_LLC_load_miss,Core_1_LLC_RFO_miss,Core_1_LLC_writeback_miss,Core_2_LLC_total_miss,Core_2_LLC_load_miss,Core_2_LLC_RFO_miss,Core_2_LLC_writeback_miss,Core_3_LLC_total_miss,Core_3_LLC_load_miss,Core_3_LLC_RFO_miss,Core_3_LLC_writeback_miss,Filter
cassandra_phase0_4T,nopref,0.34481,0.31385,0.34978,0.33717,1055170,822399,81155,151616,1090950,865710,78609,146631,1032766,821759,63169,147838,1020401,796999,72296,151106,0
cassandra_phase0_4T,spp,0.36097,0.32929,0.3663,0.34933,1448741,548648,97829,35816,1449702,576041,86304,28113,1461028,552654,74394,26562,1488926,574230,86903,30340,0
cassandra_phase0_4T,bingo,0.35647,0.32697,0.36139,0.34482,1482480,533540,95398,92302,1510241,560898,84842,88940,1424830,528624,72499,78707,1510214,564352,85185,82811,0
cassandra_phase0_4T,mlop,0.34912,0.3176,0.35345,0.33745,4679887,543305,96399,70511,4582450,580842,84699,62374,4627689,552734,73715,60392,4695461,570601,84457,61849,0
cassandra_phase0_4T,pythia,0.37213,0.33956,0.37842,0.3604,1467175,388022,87023,150729,1469021,405379,74327,138792,1430626,387717,64357,148109,1482329,407845,74219,147822,0
cassandra_phase0_4T,imp_pythia,0.37233,0.33956,0.37744,0.3605,1496556,390984,86974,149875,1519441,409719,76609,136280,1483861,399928,65909,146337,1528239,412296,75529,142393,0
cassandra_phase0_4T,dspatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase0_4T,ppf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase1_4T,nopref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase1_4T,spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase1_4T,bingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase1_4T,mlop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase1_4T,pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase1_4T,imp_pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase1_4T,dspatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase1_4T,ppf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase2_4T,nopref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase2_4T,spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase2_4T,bingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase2_4T,mlop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase2_4T,pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase2_4T,imp_pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase2_4T,dspatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase2_4T,ppf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase3_4T,nopref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase3_4T,spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase3_4T,bingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase3_4T,mlop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase3_4T,pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase3_4T,imp_pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase3_4T,dspatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassandra_phase3_4T,ppf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
