*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr 16 2025 16:07:36
*************************************************
parsing config file: /pref/Pythia/config/coop_pythia.ini
unable to parse section: , name: bool coop_rl_enable, value: true
unable to parse section: , name: coop_enable_adaptive_alpha, value: true

trace_0 /pref/Pythia/CLOUD9/traces/cloud9_phase3_core0.trace.xz
trace_1 /pref/Pythia/CLOUD9/traces/cloud9_phase3_core1.trace.xz
trace_2 /pref/Pythia/CLOUD9/traces/cloud9_phase3_core2.trace.xz
trace_3 /pref/Pythia/CLOUD9/traces/cloud9_phase3_core3.trace.xz
Initialize SHIP state
warmup_instructions 50000000
simulation_instructions 150000000
champsim_seed 7346
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 4
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 2
log2_dram_channels 1
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 8192
dram_pages 2097152
======= Prefetcher Knob Settings =======
coop_enable_multicore: 0
coop_enable_bw_throttling: 1
coop_rl_enable: 0
coop_rl_ipc_threshold: 
coop_rl_alpha_high_ipc: 0.05
coop_rl_alpha_low_ipc: 0.01
coop_rl_bw_threshold: 10
========================================
fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 32
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 128
l2c_wq_size 32
l2c_pq_size 128
l2c_mshr_size 128
l2c_latency 10

llc_size 8192
llc_set 8192
llc_way 16
llc_rq_size 256
llc_wq_size 512
llc_pq_size 128
llc_mshr_size 256
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

[CoopPythia Config]
 - Bandwidth-aware throttling: Enabled
 - Multicore cooperation: Disabled
 - RL Enabled: No
 - Adaptive Alpha: Enabled
 - IPC Threshold: 4
 - BW Threshold: 10
 - Alpha High: 0.05
 - Alpha Low: 0.01

Heartbeat CPU  0 instructions:    1000000 cycles:     496091 heartbeat IPC: 2.01576 cumulative IPC: 2.01576 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  3 instructions:    1000003 cycles:     529481 heartbeat IPC: 1.88865 cumulative IPC: 1.88865 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  2 instructions:    1000000 cycles:     537977 heartbeat IPC: 1.85882 cumulative IPC: 1.85882 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  1 instructions:    1000000 cycles:     619414 heartbeat IPC: 1.61443 cumulative IPC: 1.61443 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    2000001 cycles:     950568 heartbeat IPC: 2.20033 cumulative IPC: 2.10401 (Simulation time: 0 hr 0 min 12 sec) 
Heartbeat CPU  3 instructions:    2000003 cycles:    1058449 heartbeat IPC: 1.89047 cumulative IPC: 1.88956 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  2 instructions:    2000003 cycles:    1116705 heartbeat IPC: 1.72793 cumulative IPC: 1.79099 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  1 instructions:    2000003 cycles:    1237188 heartbeat IPC: 1.61872 cumulative IPC: 1.61657 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  0 instructions:    3000002 cycles:    1406658 heartbeat IPC: 2.19255 cumulative IPC: 2.13272 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  3 instructions:    3000000 cycles:    1585039 heartbeat IPC: 1.89900 cumulative IPC: 1.89270 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  2 instructions:    3000001 cycles:    1723337 heartbeat IPC: 1.64844 cumulative IPC: 1.74081 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  1 instructions:    3000000 cycles:    1842505 heartbeat IPC: 1.65202 cumulative IPC: 1.62822 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1877821 heartbeat IPC: 2.12240 cumulative IPC: 2.13013 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  3 instructions:    4000000 cycles:    2108952 heartbeat IPC: 1.90871 cumulative IPC: 1.89668 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  2 instructions:    4000000 cycles:    2342489 heartbeat IPC: 1.61511 cumulative IPC: 1.70759 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  1 instructions:    4000000 cycles:    2344403 heartbeat IPC: 1.99244 cumulative IPC: 1.70619 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  0 instructions:    5000003 cycles:    2366971 heartbeat IPC: 2.04437 cumulative IPC: 2.11241 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  3 instructions:    5000000 cycles:    2632482 heartbeat IPC: 1.91011 cumulative IPC: 1.89935 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:    6000000 cycles:    2848627 heartbeat IPC: 2.07616 cumulative IPC: 2.10628 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  1 instructions:    5000002 cycles:    2876439 heartbeat IPC: 1.87958 cumulative IPC: 1.73826 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  2 instructions:    5000000 cycles:    2932602 heartbeat IPC: 1.69459 cumulative IPC: 1.70497 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  3 instructions:    6000003 cycles:    3159240 heartbeat IPC: 1.89841 cumulative IPC: 1.89919 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:    7000002 cycles:    3347326 heartbeat IPC: 2.00522 cumulative IPC: 2.09122 (Simulation time: 0 hr 0 min 42 sec) 
Heartbeat CPU  1 instructions:    6000000 cycles:    3473734 heartbeat IPC: 1.67421 cumulative IPC: 1.72725 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  2 instructions:    6000001 cycles:    3576718 heartbeat IPC: 1.55252 cumulative IPC: 1.67752 (Simulation time: 0 hr 0 min 44 sec) 
Heartbeat CPU  3 instructions:    7000000 cycles:    3686853 heartbeat IPC: 1.89532 cumulative IPC: 1.89864 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3830569 heartbeat IPC: 2.06935 cumulative IPC: 2.08846 (Simulation time: 0 hr 0 min 47 sec) 
Heartbeat CPU  1 instructions:    7000000 cycles:    4102512 heartbeat IPC: 1.59039 cumulative IPC: 1.70627 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  2 instructions:    7000000 cycles:    4176995 heartbeat IPC: 1.66590 cumulative IPC: 1.67585 (Simulation time: 0 hr 0 min 52 sec) 
Heartbeat CPU  3 instructions:    8000000 cycles:    4204029 heartbeat IPC: 1.93358 cumulative IPC: 1.90294 (Simulation time: 0 hr 0 min 52 sec) 
Heartbeat CPU  0 instructions:    9000001 cycles:    4311724 heartbeat IPC: 2.07833 cumulative IPC: 2.08733 (Simulation time: 0 hr 0 min 53 sec) 
Heartbeat CPU  3 instructions:    9000002 cycles:    4723207 heartbeat IPC: 1.92613 cumulative IPC: 1.90549 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  1 instructions:    8000000 cycles:    4726637 heartbeat IPC: 1.60224 cumulative IPC: 1.69254 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  2 instructions:    8000000 cycles:    4772461 heartbeat IPC: 1.67936 cumulative IPC: 1.67628 (Simulation time: 0 hr 0 min 59 sec) 
Heartbeat CPU  0 instructions:   10000003 cycles:    4800039 heartbeat IPC: 2.04786 cumulative IPC: 2.08332 (Simulation time: 0 hr 0 min 59 sec) 
Heartbeat CPU  3 instructions:   10000000 cycles:    5237609 heartbeat IPC: 1.94400 cumulative IPC: 1.90927 (Simulation time: 0 hr 1 min 5 sec) 
Heartbeat CPU  0 instructions:   11000003 cycles:    5313674 heartbeat IPC: 1.94691 cumulative IPC: 2.07013 (Simulation time: 0 hr 1 min 6 sec) 
Heartbeat CPU  1 instructions:    9000001 cycles:    5340127 heartbeat IPC: 1.63002 cumulative IPC: 1.68535 (Simulation time: 0 hr 1 min 6 sec) 
Heartbeat CPU  2 instructions:    9000003 cycles:    5368225 heartbeat IPC: 1.67852 cumulative IPC: 1.67653 (Simulation time: 0 hr 1 min 6 sec) 
Heartbeat CPU  3 instructions:   11000002 cycles:    5753026 heartbeat IPC: 1.94018 cumulative IPC: 1.91204 (Simulation time: 0 hr 1 min 11 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5784516 heartbeat IPC: 2.12385 cumulative IPC: 2.07450 (Simulation time: 0 hr 1 min 11 sec) 
Heartbeat CPU  2 instructions:   10000002 cycles:    5954896 heartbeat IPC: 1.70453 cumulative IPC: 1.67929 (Simulation time: 0 hr 1 min 13 sec) 
Heartbeat CPU  1 instructions:   10000000 cycles:    5983329 heartbeat IPC: 1.55472 cumulative IPC: 1.67131 (Simulation time: 0 hr 1 min 14 sec) 
Heartbeat CPU  3 instructions:   12000000 cycles:    6266845 heartbeat IPC: 1.94621 cumulative IPC: 1.91484 (Simulation time: 0 hr 1 min 17 sec) 
Heartbeat CPU  0 instructions:   13000002 cycles:    6269790 heartbeat IPC: 2.06070 cumulative IPC: 2.07344 (Simulation time: 0 hr 1 min 17 sec) 
Heartbeat CPU  1 instructions:   11000002 cycles:    6599743 heartbeat IPC: 1.62229 cumulative IPC: 1.66673 (Simulation time: 0 hr 1 min 21 sec) 
Heartbeat CPU  2 instructions:   11000000 cycles:    6666550 heartbeat IPC: 1.40517 cumulative IPC: 1.65003 (Simulation time: 0 hr 1 min 22 sec) 
Heartbeat CPU  0 instructions:   14000001 cycles:    6747267 heartbeat IPC: 2.09434 cumulative IPC: 2.07491 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  3 instructions:   13000001 cycles:    6780793 heartbeat IPC: 1.94572 cumulative IPC: 1.91718 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  1 instructions:   12000000 cycles:    7201938 heartbeat IPC: 1.66059 cumulative IPC: 1.66622 (Simulation time: 0 hr 1 min 28 sec) 
Heartbeat CPU  0 instructions:   15000002 cycles:    7213373 heartbeat IPC: 2.14544 cumulative IPC: 2.07947 (Simulation time: 0 hr 1 min 28 sec) 
Heartbeat CPU  2 instructions:   12000000 cycles:    7267774 heartbeat IPC: 1.66327 cumulative IPC: 1.65112 (Simulation time: 0 hr 1 min 29 sec) 
Heartbeat CPU  3 instructions:   14000001 cycles:    7296520 heartbeat IPC: 1.93901 cumulative IPC: 1.91872 (Simulation time: 0 hr 1 min 29 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    7667505 heartbeat IPC: 2.20200 cumulative IPC: 2.08673 (Simulation time: 0 hr 1 min 34 sec) 
Heartbeat CPU  1 instructions:   13000000 cycles:    7804938 heartbeat IPC: 1.65837 cumulative IPC: 1.66561 (Simulation time: 0 hr 1 min 36 sec) 
Heartbeat CPU  3 instructions:   15000001 cycles:    7814410 heartbeat IPC: 1.93091 cumulative IPC: 1.91953 (Simulation time: 0 hr 1 min 36 sec) 
Heartbeat CPU  2 instructions:   13000002 cycles:    7871109 heartbeat IPC: 1.65746 cumulative IPC: 1.65161 (Simulation time: 0 hr 1 min 36 sec) 
Heartbeat CPU  0 instructions:   17000003 cycles:    8255463 heartbeat IPC: 1.70081 cumulative IPC: 2.05924 (Simulation time: 0 hr 1 min 41 sec) 
Heartbeat CPU  3 instructions:   16000000 cycles:    8331672 heartbeat IPC: 1.93325 cumulative IPC: 1.92038 (Simulation time: 0 hr 1 min 42 sec) 
Heartbeat CPU  1 instructions:   14000000 cycles:    8412261 heartbeat IPC: 1.64657 cumulative IPC: 1.66424 (Simulation time: 0 hr 1 min 43 sec) 
Heartbeat CPU  2 instructions:   14000000 cycles:    8441975 heartbeat IPC: 1.75172 cumulative IPC: 1.65838 (Simulation time: 0 hr 1 min 43 sec) 
Heartbeat CPU  0 instructions:   18000001 cycles:    8729006 heartbeat IPC: 2.11174 cumulative IPC: 2.06209 (Simulation time: 0 hr 1 min 46 sec) 
Heartbeat CPU  3 instructions:   17000001 cycles:    8847180 heartbeat IPC: 1.93984 cumulative IPC: 1.92152 (Simulation time: 0 hr 1 min 48 sec) 
Heartbeat CPU  2 instructions:   15000000 cycles:    8943739 heartbeat IPC: 1.99297 cumulative IPC: 1.67715 (Simulation time: 0 hr 1 min 49 sec) 
Heartbeat CPU  1 instructions:   15000001 cycles:    9147139 heartbeat IPC: 1.36077 cumulative IPC: 1.63986 (Simulation time: 0 hr 1 min 51 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:    9196143 heartbeat IPC: 2.14070 cumulative IPC: 2.06608 (Simulation time: 0 hr 1 min 51 sec) 
Heartbeat CPU  3 instructions:   18000003 cycles:    9362820 heartbeat IPC: 1.93934 cumulative IPC: 1.92250 (Simulation time: 0 hr 1 min 53 sec) 
Heartbeat CPU  2 instructions:   16000000 cycles:    9463993 heartbeat IPC: 1.92214 cumulative IPC: 1.69062 (Simulation time: 0 hr 1 min 55 sec) 
Heartbeat CPU  1 instructions:   16000000 cycles:    9763127 heartbeat IPC: 1.62341 cumulative IPC: 1.63882 (Simulation time: 0 hr 1 min 58 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:    9769816 heartbeat IPC: 1.74315 cumulative IPC: 2.04712 (Simulation time: 0 hr 1 min 58 sec) 
Heartbeat CPU  3 instructions:   19000002 cycles:    9878676 heartbeat IPC: 1.93852 cumulative IPC: 1.92333 (Simulation time: 0 hr 1 min 59 sec) 
Heartbeat CPU  2 instructions:   17000001 cycles:   10063143 heartbeat IPC: 1.66903 cumulative IPC: 1.68933 (Simulation time: 0 hr 2 min 2 sec) 
Heartbeat CPU  0 instructions:   21000002 cycles:   10277927 heartbeat IPC: 1.96808 cumulative IPC: 2.04321 (Simulation time: 0 hr 2 min 4 sec) 
Heartbeat CPU  1 instructions:   17000000 cycles:   10381277 heartbeat IPC: 1.61773 cumulative IPC: 1.63756 (Simulation time: 0 hr 2 min 6 sec) 
Heartbeat CPU  3 instructions:   20000000 cycles:   10395369 heartbeat IPC: 1.93538 cumulative IPC: 1.92393 (Simulation time: 0 hr 2 min 6 sec) 
Heartbeat CPU  2 instructions:   18000000 cycles:   10663497 heartbeat IPC: 1.66568 cumulative IPC: 1.68800 (Simulation time: 0 hr 2 min 9 sec) 
Heartbeat CPU  0 instructions:   22000003 cycles:   10742716 heartbeat IPC: 2.15152 cumulative IPC: 2.04790 (Simulation time: 0 hr 2 min 10 sec) 
