Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_1_LLC_total_miss,Core_1_LLC_load_miss,Core_1_LLC_RFO_miss,Core_1_LLC_writeback_miss,Core_2_LLC_total_miss,Core_2_LLC_load_miss,Core_2_LLC_RFO_miss,Core_2_LLC_writeback_miss,Core_3_LLC_total_miss,Core_3_LLC_load_miss,Core_3_LLC_RFO_miss,Core_3_LLC_writeback_miss,Filter
cloud9_phase0_4T,nopref,0.12542,0.127,0.15015,0.15555,123655,112978,2827,7850,97273,89755,2504,5014,186169,153308,429,32432,175859,146693,158,29008,1
cloud9_phase0_4T,spp,0.12552,0.12702,0.15071,0.15609,205517,113198,10135,1065,197619,110615,10182,869,203086,120292,605,4243,196341,116028,306,3961,1
cloud9_phase0_4T,bingo,0.12593,0.12744,0.15248,0.15784,458007,51810,16069,12898,458012,43919,15964,11480,346950,25336,629,7182,320544,22507,287,5473,1
cloud9_phase0_4T,mlop,0.12534,0.12685,0.15018,0.1555,167548,134736,4799,11018,152556,119201,3760,10509,233205,148914,388,37495,217387,146796,269,33904,1
cloud9_phase0_4T,pythia,0.12617,0.12765,0.15199,0.15751,190031,38494,4040,11966,160986,28535,3322,10999,231216,57272,358,36463,216333,49746,220,31048,1
cloud9_phase0_4T,imp_pythia,0.12568,0.12743,0.15199,0.15662,188730,81182,3047,14145,148379,52451,2143,10511,263186,53298,291,42790,248787,80407,177,37870,1
cloud9_phase0_4T,dspatch,0.12586,0.12734,0.15217,0.15753,498162,81372,16253,2155,510292,54375,16114,4252,426030,46971,488,1738,376015,42786,306,1074,1
cloud9_phase0_4T,ppf,0.12611,0.12769,0.15195,0.15729,211479,49843,3598,14352,170903,34223,3017,11234,241414,68214,412,40260,232841,67718,191,36758,1
cloud9_phase1_4T,nopref,0.1482,0.15076,0.14902,0.12459,455217,383685,25830,45702,266797,198438,2587,65772,315076,265290,310,49476,240787,204956,10550,25281,1
cloud9_phase1_4T,spp,0.14867,0.15197,0.14995,0.12495,462297,323350,28842,15504,224416,122144,2918,7405,305656,205960,332,4186,249844,130944,16714,3379,1
cloud9_phase1_4T,bingo,0.15107,0.15388,0.15175,0.12519,965967,154877,29194,22484,398460,27514,2275,25602,818481,100468,249,11529,653045,77297,22791,41205,1
cloud9_phase1_4T,mlop,0.15013,0.15058,0.15042,0.1238,673632,220101,25739,25668,344377,209669,2854,79073,659736,155479,287,22555,466673,330650,19699,78921,1
cloud9_phase1_4T,pythia,0.15027,0.15304,0.15109,0.12545,576188,233124,22432,29179,327007,70750,1841,71549,428723,145126,285,48704,373648,70257,13642,45437,1
cloud9_phase1_4T,imp_pythia,0.15042,0.15297,0.15121,0.12457,576904,215930,22570,34113,349598,68628,1172,80681,451621,136907,288,48696,381564,115363,13107,45827,1
cloud9_phase1_4T,dspatch,0.15081,0.15318,0.15117,0.12532,1027133,174908,27001,9091,491611,61494,925,11730,793674,139965,272,7073,614156,84500,21272,8107,1
cloud9_phase1_4T,ppf,0.14992,0.15295,0.1509,0.12549,539017,250758,24909,36906,339523,83580,2459,70111,411424,166226,297,58833,367016,80850,13063,42764,1
cloud9_phase2_4T,nopref,0.12423,0.15514,0.12733,0.15234,263653,230352,6699,26602,623284,413447,111147,98690,237614,208439,6591,22584,252558,201205,1319,50034,1
cloud9_phase2_4T,spp,0.12462,0.15579,0.1276,0.15339,291918,150745,14892,1924,652648,355201,111740,67209,275376,150935,13698,2227,242224,140912,1479,8287,1
cloud9_phase2_4T,bingo,0.12503,0.15913,0.12808,0.15522,621055,71595,21810,28337,1237923,162344,97205,63584,626687,62787,22245,27316,435687,40495,1160,15223,1
cloud9_phase2_4T,mlop,0.12382,0.15785,0.12674,0.1523,405675,291939,12530,54876,917432,227030,103669,78500,385528,283896,12671,50956,330983,202103,1285,59187,1
cloud9_phase2_4T,pythia,0.12524,0.15801,0.12829,0.15467,372151,77249,9372,44298,819393,235063,95822,79819,351004,65133,9305,42238,317871,78813,1180,53975,1
cloud9_phase2_4T,imp_pythia,0.125,0.15792,0.12746,0.15444,389106,107486,9339,45814,839143,241194,101054,84591,363199,142457,9412,44987,349288,83746,956,61632,1
