Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_1_LLC_total_miss,Core_1_LLC_load_miss,Core_1_LLC_RFO_miss,Core_1_LLC_writeback_miss,Core_2_LLC_total_miss,Core_2_LLC_load_miss,Core_2_LLC_RFO_miss,Core_2_LLC_writeback_miss,Core_3_LLC_total_miss,Core_3_LLC_load_miss,Core_3_LLC_RFO_miss,Core_3_LLC_writeback_miss,Filter
cloud9_phase0_4T,nopref,0.12542,0.127,0.15015,0.15555,123655,112978,2827,7850,97273,89755,2504,5014,186169,153308,429,32432,175859,146693,158,29008,0
cloud9_phase0_4T,spp,0.12552,0.12702,0.15071,0.15609,205517,113198,10135,1065,197619,110615,10182,869,203086,120292,605,4243,196341,116028,306,3961,0
cloud9_phase0_4T,bingo,0.12593,0.12744,0.15248,0.15784,458007,51810,16069,12898,458012,43919,15964,11480,346950,25336,629,7182,320544,22507,287,5473,0
cloud9_phase0_4T,mlop,0.12534,0.12685,0.15018,0.1555,167548,134736,4799,11018,152556,119201,3760,10509,233205,148914,388,37495,217387,146796,269,33904,0
cloud9_phase0_4T,pythia,0.12617,0.12765,0.15199,0.15751,190031,38494,4040,11966,160986,28535,3322,10999,231216,57272,358,36463,216333,49746,220,31048,0
cloud9_phase0_4T,imp_pythia,0.12568,0.12743,0.15199,0.15662,188730,81182,3047,14145,148379,52451,2143,10511,263186,53298,291,42790,248787,80407,177,37870,0
cloud9_phase0_4T,dspatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase0_4T,ppf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase1_4T,nopref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase1_4T,spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase1_4T,bingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase1_4T,mlop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase1_4T,pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase1_4T,imp_pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase1_4T,dspatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase1_4T,ppf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase2_4T,nopref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase2_4T,spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase2_4T,bingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase2_4T,mlop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase2_4T,pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase2_4T,imp_pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase2_4T,dspatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase2_4T,ppf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase3_4T,nopref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase3_4T,spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase3_4T,bingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase3_4T,mlop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase3_4T,pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase3_4T,imp_pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase3_4T,dspatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase3_4T,ppf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase4_4T,nopref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase4_4T,spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase4_4T,bingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase4_4T,mlop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase4_4T,pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase4_4T,imp_pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase4_4T,dspatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase4_4T,ppf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase5_4T,nopref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase5_4T,spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase5_4T,bingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase5_4T,mlop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase5_4T,pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase5_4T,imp_pythia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase5_4T,dspatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud9_phase5_4T,ppf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
