Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_1_LLC_total_miss,Core_1_LLC_load_miss,Core_1_LLC_RFO_miss,Core_1_LLC_writeback_miss,Core_2_LLC_total_miss,Core_2_LLC_load_miss,Core_2_LLC_RFO_miss,Core_2_LLC_writeback_miss,Core_3_LLC_total_miss,Core_3_LLC_load_miss,Core_3_LLC_RFO_miss,Core_3_LLC_writeback_miss,Filter
streaming_phase0_4T,nopref,0.20356,0.24152,0.29491,0.20867,654063,470344,129737,53982,931324,750789,119405,61130,994106,922584,49309,22213,746140,596309,97402,52429,1
streaming_phase0_4T,spp,0.20684,0.26398,0.37125,0.21825,975133,346913,194168,73709,1150869,313260,169041,68482,1098087,184508,56780,26642,1084423,378230,153157,59689,1
streaming_phase0_4T,bingo,0.21006,0.26903,0.37891,0.22205,861814,159902,146904,63362,1110891,162191,132341,63705,1102433,117181,53166,24560,975264,161072,114214,59659,1
streaming_phase0_4T,mlop,0.20848,0.2676,0.37792,0.21963,1388094,219835,181659,78280,1604051,183309,157346,78807,1395841,123174,53046,28910,1532765,286696,146724,78071,1
streaming_phase0_4T,pythia,0.20961,0.26698,0.3646,0.22157,859573,168161,143287,52805,1125076,205529,130781,54830,1113309,222652,50704,19909,974338,194668,111296,47546,1
streaming_phase0_4T,imp_pythia,0.21046,0.26902,0.37801,0.22209,876819,144468,147078,44396,1182125,165620,132829,49045,1139955,113475,50381,18973,1021332,188693,115568,44579,1
streaming_phase0_4T,dspatch,0.20744,0.26412,0.36882,0.21981,1707677,271900,175422,40041,1752619,256561,156967,35955,1459827,168990,52942,17363,1851362,275516,143512,42776,1
streaming_phase0_4T,ppf,0.20983,0.2686,0.37868,0.22211,1162551,121882,162806,43057,1365371,125870,147436,46691,1277688,87909,50189,18443,1316279,127601,130020,50172,1
streaming_phase1_4T,nopref,0.22614,0.22008,0.23224,0.21206,591172,445511,107748,37913,538916,402554,102280,34082,663636,588875,56116,18645,540346,372701,121301,46344,1
streaming_phase1_4T,spp,0.23094,0.22272,0.25532,0.21286,789750,270300,149696,48017,742488,278515,145435,44818,782842,148557,80317,23523,733885,283780,163405,52520,1
streaming_phase1_4T,bingo,0.23397,0.22543,0.25769,0.21551,756360,119327,119566,43316,710194,122741,114862,40567,769871,89311,74195,21476,706942,117726,134693,49468,1
streaming_phase1_4T,mlop,0.23335,0.22481,0.25724,0.21473,1234887,116167,148671,53018,1194199,121479,146295,48523,1069923,95931,82239,28814,1181992,119021,165989,59873,1
streaming_phase1_4T,pythia,0.23322,0.22491,0.25564,0.21466,689301,105862,113463,28259,639193,109959,108444,23992,738016,92895,64182,12510,632250,107450,127525,28945,1
streaming_phase1_4T,imp_pythia,0.23409,0.22574,0.2573,0.21553,689370,83909,114613,20838,645230,87193,109464,18158,744200,57520,65750,9350,635920,84999,128858,23971,1
streaming_phase1_4T,dspatch,0.2307,0.22267,0.25363,0.21286,1247340,195032,155167,14429,1226678,189107,150742,13239,1117562,123165,80249,6995,1201658,190707,170953,14986,1
streaming_phase1_4T,ppf,0.23299,0.22445,0.25641,0.2142,914399,101343,136285,18865,878943,104089,130725,17865,946511,65694,75027,7493,876566,102016,151749,24260,1
streaming_phase2_4T,nopref,0.2219,0.26466,0.23306,0.22283,609049,441941,118582,48526,762395,642456,85546,34393,673045,598879,52337,21829,625764,462993,114760,48011,1
streaming_phase2_4T,spp,0.22613,0.28563,0.25547,0.2273,821129,292373,162717,57352,937278,249891,119449,39206,801589,165420,77021,29970,839745,297846,157557,53521,1
streaming_phase2_4T,bingo,0.22903,0.29047,0.2578,0.23034,784512,135986,130770,51774,914582,126888,96753,36108,787870,98981,70913,23912,811012,142220,126095,49320,1
streaming_phase2_4T,mlop,0.22834,0.28977,0.25718,0.22971,1313328,132815,159977,64397,1417744,118633,117621,43842,1118183,107773,80233,32446,1391834,136880,153639,60064,1
streaming_phase2_4T,pythia,0.22834,0.28915,0.25507,0.22955,714325,120683,125863,32645,857514,111151,91261,21440,751737,117545,60857,13069,733088,128008,121176,28287,1
streaming_phase2_4T,imp_pythia,0.22925,0.29061,0.25755,0.23033,721330,99273,127297,26296,871706,94455,92924,16126,762926,65796,63128,11814,743959,105526,122736,21050,1
streaming_phase2_4T,dspatch,0.22603,0.28563,0.2536,0.22747,1335426,203718,168068,17335,1407452,188840,127738,12453,1147001,136496,78499,10181,1380742,209073,161673,16631,1
streaming_phase2_4T,ppf,0.22792,0.28907,0.25655,0.22903,981562,116695,151777,24274,1091190,110582,112576,15099,982737,73953,72994,8673,1021078,123467,145708,20057,1
streaming_phase3_4T,nopref,0.21061,0.21107,0.19116,0.21619,662532,458822,141928,61782,643380,448906,136092,58382,552103,429177,85171,37755,672458,485715,130089,56654,1
streaming_phase3_4T,spp,0.21219,0.21282,0.19774,0.21945,856311,341669,171609,63347,829744,329946,165466,60257,710080,221737,119330,44682,869427,334082,159530,58818,1
streaming_phase3_4T,bingo,0.21455,0.21522,0.1987,0.22193,886638,177600,158041,64617,867478,166036,151557,64729,737603,141341,117094,43252,905681,177495,146901,60412,1
streaming_phase3_4T,mlop,0.21417,0.21485,0.19836,0.22175,1608046,165300,180066,79117,1538753,155772,173113,78918,1206668,160489,128913,60564,1617277,162247,166065,74507,1
streaming_phase3_4T,pythia,0.21401,0.21459,0.19835,0.22141,793108,163999,147322,37820,773883,152100,143300,37940,673445,119156,98478,22302,810857,157157,137721,36263,1
streaming_phase3_4T,imp_pythia,0.21473,0.21536,0.19885,0.22229,819297,135835,150867,28745,789142,126655,147207,28384,687072,95099,104076,15573,829471,133278,140733,27043,1
streaming_phase3_4T,dspatch,0.21159,0.21225,0.1958,0.21904,1621826,260011,203950,20536,1560720,253283,196489,21259,1303848,183586,129501,14108,1632941,252670,188434,18703,1
streaming_phase3_4T,ppf,0.21341,0.21411,0.1977,0.22087,1134874,153003,180343,27715,1092765,145967,174746,26764,1019808,99749,119500,13967,1152142,153667,168070,27293,1
streaming_phase4_4T,nopref,0.21303,0.22385,0.22851,0.23304,564418,371261,141478,51679,611762,437550,127765,46447,677618,596166,60831,20621,650832,492870,119432,38530,1
streaming_phase4_4T,spp,0.21341,0.22912,0.25147,0.24253,779905,287811,187025,65839,814502,271865,170917,58892,816089,161890,85853,29685,853937,262789,160910,51793,1
streaming_phase4_4T,bingo,0.21644,0.23252,0.25411,0.24631,734909,110437,155816,57522,777901,107520,142080,52461,783968,94643,76798,23383,803348,113584,133985,43305,1
streaming_phase4_4T,mlop,0.21536,0.23148,0.25336,0.2453,1180872,121240,185380,71233,1218620,115352,171166,67018,1089161,104224,88358,31379,1280434,116096,161407,55332,1
streaming_phase4_4T,pythia,0.21559,0.23165,0.25246,0.24531,660463,101513,148983,35332,703591,101409,135298,31791,751934,91161,66623,12980,743231,101850,127298,26984,1
streaming_phase4_4T,imp_pythia,0.21619,0.23236,0.25369,0.24628,662955,79229,151130,29867,701770,77268,136477,25927,756812,60452,69008,10092,747823,76359,128471,22600,1
streaming_phase4_4T,dspatch,0.21311,0.22873,0.24935,0.24198,1232686,194212,186823,19063,1278203,200437,176793,18248,1151383,137649,88418,8760,1326513,207388,168421,16614,1
streaming_phase4_4T,ppf,0.21467,0.23105,0.25259,0.24475,913905,96301,174324,29133,939410,94812,160554,25445,970408,68472,79020,8159,991666,99261,153002,21573,1
streaming_phase5_4T,nopref,0.2078,0.2121,0.20072,0.20852,724442,496407,169273,58762,648120,440295,156293,51532,648791,514166,102148,32477,633904,435742,147448,50714,1
streaming_phase5_4T,spp,0.21086,0.21491,0.2125,0.21139,900116,298969,204323,67412,812186,284202,188551,59301,783618,196079,124350,39150,792829,272608,181106,57832,1
streaming_phase5_4T,bingo,0.21379,0.21763,0.214,0.21418,920424,133176,187044,65017,813070,124512,170988,55333,781849,138920,121558,33780,797516,113657,163043,57521,1
streaming_phase5_4T,mlop,0.21294,0.21691,0.21354,0.21327,1378214,142714,209512,79950,1238190,123221,196329,70906,1156309,129954,129587,47622,1210658,116764,188974,69938,1
streaming_phase5_4T,pythia,0.21284,0.21702,0.21361,0.21332,902498,161117,180836,45903,778009,131973,164788,39553,761254,109956,111582,22701,753270,118681,156605,38294,1
streaming_phase5_4T,imp_pythia,0.21358,0.21741,0.21418,0.21401,931583,130879,183826,36327,782206,102150,166488,31712,761699,90262,112529,18524,759757,95760,158896,32712,1
streaming_phase5_4T,dspatch,0.21043,0.2144,0.21023,0.2114,1564386,251812,221495,29659,1353705,210859,208713,22807,1284673,184095,130412,14903,1339754,207581,198103,24070,1
streaming_phase5_4T,ppf,0.21258,0.21644,0.21326,0.2129,1163349,114234,207502,35373,1010251,103045,191448,29478,1014098,84676,120572,15248,991847,96867,183285,29234,1
