*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Mar 31 2025 20:14:32
*************************************************
parsing config file: /data3/config/bingo.ini

trace_0 /data3/STREAMING/traces/streaming_phase5_core0.trace.xz
trace_1 /data3/STREAMING/traces/streaming_phase5_core1.trace.xz
trace_2 /data3/STREAMING/traces/streaming_phase5_core2.trace.xz
trace_3 /data3/STREAMING/traces/streaming_phase5_core3.trace.xz
adding L2C_PREFETCHER: Bingo
adding L2C_PREFETCHER: Bingo
adding L2C_PREFETCHER: Bingo
adding L2C_PREFETCHER: Bingo
Initialize SHIP state
warmup_instructions 50000000
simulation_instructions 150000000
champsim_seed 8866
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 4
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 2
log2_dram_channels 1
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 8192
dram_pages 2097152

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 8192
llc_set 8192
llc_way 16
llc_rq_size 128
llc_wq_size 128
llc_pq_size 128
llc_mshr_size 256
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

bingo_region_size 2048
bingo_pattern_len 32
bingo_pc_width 16
bingo_min_addr_width 5
bingo_max_addr_width 16
bingo_ft_size 64
bingo_at_size 128
bingo_pht_size 4096
bingo_pht_ways 16
bingo_pf_streamer_size 128
bingo_debug_level 0
bingo_l1d_thresh 1.01
bingo_l2c_thresh 0.8
bingo_llc_thresh 0.05
bingo_pc_address_fill_level L2


Heartbeat CPU  2 instructions:    1000001 cycles:     385528 heartbeat IPC: 2.59385 cumulative IPC: 2.59385 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    1000003 cycles:     477950 heartbeat IPC: 2.09228 cumulative IPC: 2.09228 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  3 instructions:    1000003 cycles:     588241 heartbeat IPC: 1.69999 cumulative IPC: 1.69999 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  1 instructions:    1000000 cycles:     615318 heartbeat IPC: 1.62518 cumulative IPC: 1.62518 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  2 instructions:    2000001 cycles:     688636 heartbeat IPC: 3.29915 cumulative IPC: 2.90429 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  0 instructions:    2000003 cycles:     960640 heartbeat IPC: 2.07172 cumulative IPC: 2.08195 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  2 instructions:    3000002 cycles:     995113 heartbeat IPC: 3.26289 cumulative IPC: 3.01473 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  1 instructions:    2000002 cycles:    1129331 heartbeat IPC: 1.94548 cumulative IPC: 1.77096 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  3 instructions:    2000003 cycles:    1145726 heartbeat IPC: 1.79377 cumulative IPC: 1.74562 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  0 instructions:    3000002 cycles:    1435662 heartbeat IPC: 2.10516 cumulative IPC: 2.08963 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  2 instructions:    4000000 cycles:    1449678 heartbeat IPC: 2.19990 cumulative IPC: 2.75923 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  3 instructions:    3000000 cycles:    1631966 heartbeat IPC: 2.05659 cumulative IPC: 1.83827 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  1 instructions:    3000003 cycles:    1650715 heartbeat IPC: 1.91797 cumulative IPC: 1.81740 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  2 instructions:    5000002 cycles:    1768774 heartbeat IPC: 3.13386 cumulative IPC: 2.82682 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1895976 heartbeat IPC: 2.17243 cumulative IPC: 2.10973 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  2 instructions:    6000001 cycles:    2067110 heartbeat IPC: 3.35192 cumulative IPC: 2.90260 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  3 instructions:    4000000 cycles:    2151218 heartbeat IPC: 1.92585 cumulative IPC: 1.85941 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  1 instructions:    4000000 cycles:    2218988 heartbeat IPC: 1.75971 cumulative IPC: 1.80262 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  2 instructions:    7000001 cycles:    2362350 heartbeat IPC: 3.38707 cumulative IPC: 2.96315 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:    5000002 cycles:    2386307 heartbeat IPC: 2.03944 cumulative IPC: 2.09529 (Simulation time: 0 hr 0 min 34 sec) 
Heartbeat CPU  3 instructions:    5000003 cycles:    2625922 heartbeat IPC: 2.10658 cumulative IPC: 1.90409 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  2 instructions:    8000000 cycles:    2708030 heartbeat IPC: 2.89285 cumulative IPC: 2.95418 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  1 instructions:    5000000 cycles:    2741323 heartbeat IPC: 1.91448 cumulative IPC: 1.82394 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:    6000003 cycles:    2831300 heartbeat IPC: 2.24723 cumulative IPC: 2.11917 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  3 instructions:    6000001 cycles:    3091009 heartbeat IPC: 2.15013 cumulative IPC: 1.94111 (Simulation time: 0 hr 0 min 44 sec) 
Heartbeat CPU  0 instructions:    7000000 cycles:    3210973 heartbeat IPC: 2.63384 cumulative IPC: 2.18002 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  1 instructions:    6000000 cycles:    3231896 heartbeat IPC: 2.03843 cumulative IPC: 1.85650 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  2 instructions:    9000000 cycles:    3453746 heartbeat IPC: 1.34099 cumulative IPC: 2.60587 (Simulation time: 0 hr 0 min 49 sec) 
Heartbeat CPU  3 instructions:    7000001 cycles:    3552412 heartbeat IPC: 2.16730 cumulative IPC: 1.97049 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3561901 heartbeat IPC: 2.84959 cumulative IPC: 2.24599 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  1 instructions:    7000002 cycles:    3734210 heartbeat IPC: 1.99079 cumulative IPC: 1.87456 (Simulation time: 0 hr 0 min 52 sec) 
Heartbeat CPU  3 instructions:    8000000 cycles:    4017134 heartbeat IPC: 2.15182 cumulative IPC: 1.99147 (Simulation time: 0 hr 0 min 56 sec) 
Heartbeat CPU  0 instructions:    9000001 cycles:    4165638 heartbeat IPC: 1.65635 cumulative IPC: 2.16053 (Simulation time: 0 hr 0 min 57 sec) 
Heartbeat CPU  2 instructions:   10000002 cycles:    4184039 heartbeat IPC: 1.36932 cumulative IPC: 2.39004 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  1 instructions:    8000000 cycles:    4217908 heartbeat IPC: 2.06740 cumulative IPC: 1.89667 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  3 instructions:    9000000 cycles:    4547186 heartbeat IPC: 1.88661 cumulative IPC: 1.97925 (Simulation time: 0 hr 1 min 2 sec) 
Heartbeat CPU  0 instructions:   10000001 cycles:    4731664 heartbeat IPC: 1.76670 cumulative IPC: 2.11342 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  1 instructions:    9000003 cycles:    4775628 heartbeat IPC: 1.79302 cumulative IPC: 1.88457 (Simulation time: 0 hr 1 min 5 sec) 
Heartbeat CPU  2 instructions:   11000001 cycles:    4807560 heartbeat IPC: 1.60379 cumulative IPC: 2.28806 (Simulation time: 0 hr 1 min 5 sec) 
