Benchmark,Exp,Core,Covered,Overpredicted,Uncovered,Level
cassandra,nopref,0,0,0,1473633,L2C
cassandra,spp,0,184082,21375,1301205,L2C
cassandra,bingo,0,623607,205224,999982,L2C
cassandra,mlop,0,334947,568422,1581940,L2C
cassandra,pythia,0,876926,937723,1305502,L2C
cassandra,dspatch,0,592709,3988538,3183471,L2C
cassandra,ppf,0,978788,2138657,2109652,L2C
cassandra,nopref,0,0,0,1609820,L2C
cassandra,spp,0,169183,26464,1467575,L2C
cassandra,bingo,0,670565,230994,1143653,L2C
cassandra,mlop,0,284252,500213,1718455,L2C
cassandra,pythia,0,902125,1060535,1685751,L2C
cassandra,dspatch,0,685314,5173723,4944987,L2C
cassandra,ppf,0,1068816,2806720,3109379,L2C
cassandra,nopref,0,0,0,1326651,L2C
cassandra,spp,0,118299,16530,1216941,L2C
cassandra,bingo,0,489947,191502,994896,L2C
cassandra,mlop,0,179355,300552,1410040,L2C
cassandra,pythia,0,653460,807332,1348007,L2C
cassandra,dspatch,0,467487,3547203,3239179,L2C
cassandra,ppf,0,772637,1814982,2094729,L2C
cassandra,nopref,0,0,0,1552867,L2C
cassandra,spp,0,229545,18814,1339463,L2C
cassandra,bingo,0,695473,167098,985223,L2C
cassandra,mlop,0,379301,429839,1547036,L2C
cassandra,pythia,0,934077,903973,1399543,L2C
cassandra,dspatch,0,711335,4238472,4027519,L2C
cassandra,ppf,0,1075419,2066083,2275651,L2C
cassandra,nopref,0,0,0,1486440,L2C
cassandra,spp,0,131524,23417,1371041,L2C
cassandra,bingo,0,700520,232956,958964,L2C
cassandra,mlop,0,193665,360433,1550983,L2C
cassandra,pythia,0,951704,1164595,1422240,L2C
cassandra,dspatch,0,664616,6604061,4681987,L2C
cassandra,ppf,0,1140392,2698728,2329509,L2C
cassandra,nopref,0,0,0,1366652,L2C
cassandra,spp,0,172133,20674,1208333,L2C
cassandra,bingo,0,613232,187306,883442,L2C
cassandra,mlop,0,288740,500913,1455283,L2C
cassandra,pythia,0,834802,911777,1185574,L2C
cassandra,dspatch,0,558404,3663666,2805301,L2C
