Benchmark,Exp,Core,Covered,Overpredicted,Uncovered,Level
cassandra,nopref,0,0,0,1055170,LLC
cassandra,spp,0,1652435,2829797,0,LLC
cassandra,bingo,0,416965,3863211,1065515,LLC
cassandra,mlop,0,1719173,20752141,2960714,LLC
cassandra,pythia,0,68542,4689999,1398633,LLC
cassandra,dspatch,0,233492,11789924,2258563,LLC
cassandra,ppf,0,132635,7789977,1889336,LLC
cassandra,nopref,0,0,0,1074397,LLC
cassandra,spp,0,1567453,2812297,0,LLC
cassandra,bingo,0,413742,3893569,1097574,LLC
cassandra,mlop,0,1655445,20636296,3246495,LLC
cassandra,pythia,0,86300,4652832,1447838,LLC
cassandra,dspatch,0,235626,12044416,2525914,LLC
cassandra,ppf,0,159346,8161625,2082449,LLC
cassandra,nopref,0,0,0,1002353,LLC
cassandra,spp,0,1369279,2231249,0,LLC
cassandra,bingo,0,448841,3877501,1003362,LLC
cassandra,mlop,0,1472251,16361346,2871203,LLC
cassandra,pythia,0,62641,4039013,1343672,LLC
cassandra,dspatch,0,184151,9596038,2245991,LLC
cassandra,ppf,0,109639,6514093,1821130,LLC
cassandra,nopref,0,0,0,1159849,LLC
cassandra,spp,0,1436633,2234457,0,LLC
cassandra,bingo,0,469722,4163496,1080602,LLC
cassandra,mlop,0,1518568,15736180,2332298,LLC
cassandra,pythia,0,75919,4307937,1418217,LLC
cassandra,dspatch,0,192551,9586166,2234270,LLC
cassandra,ppf,0,131396,6975749,1853473,LLC
cassandra,nopref,0,0,0,1111802,LLC
cassandra,spp,0,1534969,2430126,0,LLC
cassandra,bingo,0,536640,4469207,1072988,LLC
cassandra,mlop,0,1726401,17964284,2100392,LLC
cassandra,pythia,0,104749,4721994,1366795,LLC
cassandra,dspatch,0,249532,12075175,2413345,LLC
cassandra,ppf,0,173011,7748128,1782394,LLC
cassandra,nopref,0,0,0,987523,LLC
cassandra,spp,0,1555779,2573396,0,LLC
cassandra,bingo,0,393178,3859109,1040940,LLC
cassandra,mlop,0,1620673,19840988,2839218,LLC
cassandra,pythia,0,57961,4566747,1313373,LLC
cassandra,dspatch,0,200974,11158943,2121928,LLC
cassandra,ppf,0,115329,7811539,1871954,LLC
cassandra,coop_pythia,0,60185,4153796,1377315,LLC
cassandra,coop_pythia,0,76330,4120642,1427246,LLC
cassandra,coop_pythia,0,57259,3528427,1311509,LLC
cassandra,coop_pythia,0,68866,3754025,1402835,LLC
cassandra,coop_pythia,0,90993,4120154,1346794,LLC
cassandra,coop_pythia,0,51647,4024320,1315838,LLC
nutch,nopref,0,0,0,592849,LLC
nutch,spp,0,928739,976890,0,LLC
nutch,bingo,0,154667,1745410,498392,LLC
nutch,mlop,0,395492,2337022,275759,LLC
nutch,pythia,0,71058,2051062,572962,LLC
nutch,dspatch,0,150740,3177521,810142,LLC
nutch,ppf,0,77867,2639074,688975,LLC
nutch,nopref,0,0,0,688314,LLC
nutch,spp,0,860162,918610,0,LLC
nutch,bingo,0,155133,1531525,581933,LLC
nutch,mlop,0,392938,2222021,301855,LLC
nutch,pythia,0,73391,1891712,641516,LLC
nutch,dspatch,0,154898,3261010,806455,LLC
nutch,ppf,0,84643,2505106,737094,LLC
