*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr  2 2025 11:26:00
*************************************************
parsing config file: /data3/config/pythia_mod2.ini

trace_0 /data3/NUTCH/traces/nutch_phase1_core0.trace.xz
adding L2C_PREFETCHER: Scooby
Initialize SHIP state
warmup_instructions 50000000
simulation_instructions 150000000
champsim_seed 1787
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

scooby_alpha 0.008
scooby_gamma 0.5563
scooby_epsilon 0.005
scooby_state_num_bits 10
scooby_max_states 1024
scooby_seed 200
scooby_policy EGreedy
scooby_learning_type SARSA
scooby_actions 1,2,3,4,6,8,10,12,16,-1,-2,-4,0,
scooby_max_actions 13
scooby_pt_size 384
scooby_st_size 96
scooby_max_pcs 5
scooby_max_offsets 5
scooby_max_deltas 5
scooby_reward_none -4
scooby_reward_incorrect -10
scooby_reward_correct_untimely 12
scooby_reward_correct_timely 25
scooby_brain_zero_init 0
scooby_enable_reward_all 0
scooby_enable_track_multiple 0
scooby_enable_reward_out_of_bounds 1
scooby_reward_out_of_bounds -14
scooby_state_type 1
scooby_state_hash_type 4
scooby_access_debug 0
scooby_print_access_debug 0
scooby_print_access_debug_pc deadbeef
scooby_print_access_debug_pc_count 0
scooby_print_trace 0
scooby_enable_state_action_stats 1
scooby_enable_reward_tracker_hit 1
scooby_reward_tracker_hit -3
scooby_enable_featurewise_engine 1
scooby_pref_degree 1
scooby_enable_dyn_degree 1
scooby_max_to_avg_q_thresholds 0.6,1.2,2,
scooby_dyn_degrees 1,2,4,6,
scooby_multi_deg_select_type 2
scooby_last_pref_offset_conf_thresholds 1,3,6,
scooby_dyn_degrees_type2 1,2,4,6,
scooby_action_tracker_size 2
scooby_high_bw_thresh 4
scooby_enable_hbw_reward 1
scooby_reward_hbw_correct_timely 25
scooby_reward_hbw_correct_untimely 12
scooby_reward_hbw_incorrect -16
scooby_reward_hbw_none -4
scooby_reward_hbw_out_of_bounds -14
scooby_reward_hbw_tracker_hit -3
scooby_last_pref_offset_conf_thresholds_hbw 1,3,6,
scooby_dyn_degrees_type2_hbw 1,2,4,6,

le_enable_trace 0
le_trace_interval 0
le_trace_file_name 
le_trace_state 0
le_enable_score_plot 0
le_plot_file_name 
le_plot_actions 
le_enable_action_trace 0
le_action_trace_interval 0
le_action_trace_name 
le_enable_action_plot 0

le_featurewise_active_features PC, PC_Delta
le_featurewise_num_tilings 4,4,
le_featurewise_num_tiles 192,192,
le_featurewise_hash_types 2,2,
le_featurewise_enable_tiling_offset 1,1,
le_featurewise_max_q_thresh 0.5
le_featurewise_enable_action_fallback 1
le_featurewise_feature_weights 1,1,
le_featurewise_enable_dynamic_weight 0
le_featurewise_weight_gradient 0.001
le_featurewise_disable_adjust_weight_all_features_align 1
le_featurewise_selective_update 0
le_featurewise_pooling_type 2
le_featurewise_enable_dyn_action_fallback 1
le_featurewise_bw_acc_check_level 1
le_featurewise_acc_thresh 2
le_featurewise_enable_trace 0
le_featurewise_trace_feature_type 0
le_featurewise_trace_feature 
le_featurewise_trace_interval 0
le_featurewise_trace_record_count 0
le_featurewise_trace_file_name 
le_featurewise_enable_score_plot 0
le_featurewise_plot_actions 
le_featurewise_plot_file_name 


Heartbeat CPU  0 instructions:    1000002 cycles:     628504 heartbeat IPC: 1.59108 cumulative IPC: 1.59108 (Simulation time: 0 hr 0 min 1 sec) 
Heartbeat CPU  0 instructions:    2000000 cycles:    1085981 heartbeat IPC: 2.18590 cumulative IPC: 1.84165 (Simulation time: 0 hr 0 min 3 sec) 
Heartbeat CPU  0 instructions:    3000001 cycles:    1546424 heartbeat IPC: 2.17182 cumulative IPC: 1.93996 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2172524 heartbeat IPC: 1.59719 cumulative IPC: 1.84118 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    5000000 cycles:    2644321 heartbeat IPC: 2.11956 cumulative IPC: 1.89084 (Simulation time: 0 hr 0 min 6 sec) 
Heartbeat CPU  0 instructions:    6000003 cycles:    3071716 heartbeat IPC: 2.33976 cumulative IPC: 1.95331 (Simulation time: 0 hr 0 min 7 sec) 
Heartbeat CPU  0 instructions:    7000000 cycles:    3485788 heartbeat IPC: 2.41503 cumulative IPC: 2.00815 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3899438 heartbeat IPC: 2.41750 cumulative IPC: 2.05158 (Simulation time: 0 hr 0 min 10 sec) 
Heartbeat CPU  0 instructions:    9000001 cycles:    4308121 heartbeat IPC: 2.44689 cumulative IPC: 2.08908 (Simulation time: 0 hr 0 min 11 sec) 
Heartbeat CPU  0 instructions:   10000001 cycles:    4718315 heartbeat IPC: 2.43787 cumulative IPC: 2.11940 (Simulation time: 0 hr 0 min 12 sec) 
Heartbeat CPU  0 instructions:   11000003 cycles:    5172498 heartbeat IPC: 2.20176 cumulative IPC: 2.12663 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5634982 heartbeat IPC: 2.16223 cumulative IPC: 2.12955 (Simulation time: 0 hr 0 min 15 sec) 
Heartbeat CPU  0 instructions:   13000001 cycles:    6231762 heartbeat IPC: 1.67566 cumulative IPC: 2.08609 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  0 instructions:   14000002 cycles:    6741009 heartbeat IPC: 1.96369 cumulative IPC: 2.07684 (Simulation time: 0 hr 0 min 17 sec) 
Heartbeat CPU  0 instructions:   15000002 cycles:    7147746 heartbeat IPC: 2.45859 cumulative IPC: 2.09856 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    7615171 heartbeat IPC: 2.13938 cumulative IPC: 2.10107 (Simulation time: 0 hr 0 min 20 sec) 
Heartbeat CPU  0 instructions:   17000001 cycles:    8120473 heartbeat IPC: 1.97902 cumulative IPC: 2.09347 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  0 instructions:   18000001 cycles:    8657952 heartbeat IPC: 1.86054 cumulative IPC: 2.07901 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  0 instructions:   19000003 cycles:    9063227 heartbeat IPC: 2.46747 cumulative IPC: 2.09638 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:    9460907 heartbeat IPC: 2.51458 cumulative IPC: 2.11396 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  0 instructions:   21000001 cycles:    9855382 heartbeat IPC: 2.53502 cumulative IPC: 2.13082 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:   22000002 cycles:   10253857 heartbeat IPC: 2.50957 cumulative IPC: 2.14553 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  0 instructions:   23000002 cycles:   10709545 heartbeat IPC: 2.19448 cumulative IPC: 2.14762 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   11096992 heartbeat IPC: 2.58099 cumulative IPC: 2.16275 (Simulation time: 0 hr 0 min 29 sec) 
Heartbeat CPU  0 instructions:   25000000 cycles:   11496300 heartbeat IPC: 2.50433 cumulative IPC: 2.17461 (Simulation time: 0 hr 0 min 30 sec) 
Heartbeat CPU  0 instructions:   26000000 cycles:   12117320 heartbeat IPC: 1.61025 cumulative IPC: 2.14569 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  0 instructions:   27000001 cycles:   12825093 heartbeat IPC: 1.41288 cumulative IPC: 2.10525 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   13268411 heartbeat IPC: 2.25571 cumulative IPC: 2.11028 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  0 instructions:   29000002 cycles:   13747824 heartbeat IPC: 2.08589 cumulative IPC: 2.10942 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  0 instructions:   30000002 cycles:   14174463 heartbeat IPC: 2.34390 cumulative IPC: 2.11648 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:   31000000 cycles:   14592769 heartbeat IPC: 2.39059 cumulative IPC: 2.12434 (Simulation time: 0 hr 0 min 37 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   15009365 heartbeat IPC: 2.40041 cumulative IPC: 2.13200 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  0 instructions:   33000000 cycles:   15443481 heartbeat IPC: 2.30353 cumulative IPC: 2.13682 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:   34000000 cycles:   15859621 heartbeat IPC: 2.40304 cumulative IPC: 2.14381 (Simulation time: 0 hr 0 min 41 sec) 
Heartbeat CPU  0 instructions:   35000001 cycles:   16409631 heartbeat IPC: 1.81815 cumulative IPC: 2.13289 (Simulation time: 0 hr 0 min 42 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   17053433 heartbeat IPC: 1.55327 cumulative IPC: 2.11101 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   37000003 cycles:   17559244 heartbeat IPC: 1.97703 cumulative IPC: 2.10715 (Simulation time: 0 hr 0 min 44 sec) 
Heartbeat CPU  0 instructions:   38000000 cycles:   17977820 heartbeat IPC: 2.38905 cumulative IPC: 2.11372 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  0 instructions:   39000001 cycles:   18402194 heartbeat IPC: 2.35641 cumulative IPC: 2.11931 (Simulation time: 0 hr 0 min 47 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   18818607 heartbeat IPC: 2.40146 cumulative IPC: 2.12556 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   41000003 cycles:   19231006 heartbeat IPC: 2.42484 cumulative IPC: 2.13197 (Simulation time: 0 hr 0 min 49 sec) 
Heartbeat CPU  0 instructions:   42000002 cycles:   19643479 heartbeat IPC: 2.42440 cumulative IPC: 2.13811 (Simulation time: 0 hr 0 min 50 sec) 
