Trace,Exp,Core_0_L2C_prefetch_issued,Core_0_L2C_prefetch_useful,Core_0_L2C_prefetch_useless,Core_0_L2C_total_miss,Core_0_LLC_prefetch_issued,Core_0_LLC_prefetch_useful,Core_0_LLC_prefetch_useless,Core_0_LLC_total_miss,Filter
cassandra_phase0_4T,nopref,0,0,0,1473633,0,0,0,1055170,1
cassandra_phase0_4T,spp,4050696,184082,21375,1485287,0,1652435,2829797,1448741,1
cassandra_phase0_4T,bingo,2378421,623607,205224,1623589,0,416965,3863211,1482480,1
cassandra_phase0_4T,mlop,6917770,334947,568422,1916887,0,1719173,20752141,4679887,1
cassandra_phase0_4T,pythia,5691696,876926,937723,2182428,0,68542,4689999,1467175,1
cassandra_phase0_4T,dspatch,5591323,592709,3988538,3776180,0,233492,11789924,2492055,1
cassandra_phase0_4T,ppf,3845225,978788,2138657,3088440,0,132635,7789977,2021971,1
cassandra_phase1_4T,nopref,0,0,0,1609820,0,0,0,1074397,1
cassandra_phase1_4T,spp,4275306,169183,26464,1636758,0,1567453,2812297,1498442,1
cassandra_phase1_4T,bingo,2766382,670565,230994,1814218,0,413742,3893569,1511316,1
cassandra_phase1_4T,mlop,6833250,284252,500213,2002707,0,1655445,20636296,4901940,1
cassandra_phase1_4T,pythia,6609355,902125,1060535,2587876,0,86300,4652832,1534138,1
cassandra_phase1_4T,dspatch,7200993,685314,5173723,5630301,0,235626,12044416,2761540,1
cassandra_phase1_4T,ppf,5050431,1068816,2806720,4178195,0,159346,8161625,2241795,1
cassandra_phase2_4T,nopref,0,0,0,1326651,0,0,0,1002353,1
cassandra_phase2_4T,spp,2830244,118299,16530,1335240,0,1369279,2231249,1323955,1
cassandra_phase2_4T,bingo,2056880,489947,191502,1484843,0,448841,3877501,1452203,1
cassandra_phase2_4T,mlop,5483293,179355,300552,1589395,0,1472251,16361346,4343454,1
cassandra_phase2_4T,pythia,3731536,653460,807332,2001467,0,62641,4039013,1406313,1
cassandra_phase2_4T,dspatch,4941032,467487,3547203,3706666,0,184151,9596038,2430142,1
cassandra_phase2_4T,ppf,3191264,772637,1814982,2867366,0,109639,6514093,1930769,1
cassandra_phase3_4T,nopref,0,0,0,1552867,0,0,0,1159849,1
cassandra_phase3_4T,spp,4600366,229545,18814,1569008,0,1436633,2234457,1372772,1
cassandra_phase3_4T,bingo,2506036,695473,167098,1680696,0,469722,4163496,1550324,1
cassandra_phase3_4T,mlop,5306324,379301,429839,1926337,0,1518568,15736180,3850866,1
cassandra_phase3_4T,pythia,6396825,934077,903973,2333620,0,75919,4307937,1494136,1
cassandra_phase3_4T,dspatch,6210426,711335,4238472,4738854,0,192551,9586166,2426821,1
cassandra_phase3_4T,ppf,4144222,1075419,2066083,3351070,0,131396,6975749,1984869,1
cassandra_phase4_4T,nopref,0,0,0,1486440,0,0,0,1111802,1
cassandra_phase4_4T,spp,4084786,131524,23417,1502565,0,1534969,2430126,1333048,1
cassandra_phase4_4T,bingo,3058490,700520,232956,1659484,0,536640,4469207,1609628,1
cassandra_phase4_4T,mlop,5888127,193665,360433,1744648,0,1726401,17964284,3826793,1
cassandra_phase4_4T,pythia,7132016,951704,1164595,2373944,0,104749,4721994,1471544,1
cassandra_phase4_4T,dspatch,9055390,664616,6604061,5346603,0,249532,12075175,2662877,1
cassandra_phase4_4T,ppf,5276946,1140392,2698728,3469901,0,173011,7748128,1955405,1
cassandra_phase5_4T,nopref,0,0,0,1366652,0,0,0,987523,1
cassandra_phase5_4T,spp,3741568,172133,20674,1380466,0,1555779,2573396,1360401,1
cassandra_phase5_4T,bingo,2358633,613232,187306,1496674,0,393178,3859109,1434118,1
cassandra_phase5_4T,mlop,6789610,288740,500913,1744023,0,1620673,19840988,4459891,1
cassandra_phase5_4T,pythia,5260757,834802,911777,2020376,0,57961,4566747,1371334,1
cassandra_phase5_4T,dspatch,5072306,558404,3663666,3363705,0,200974,11158943,2322902,1
cassandra_phase5_4T,ppf,3728421,926889,2216611,2961928,0,115329,7811539,1987283,1
cassandra_phase0_4T,coop_pythia,2335948,618204,872053,2117293,0,60185,4153796,1437500,1
cassandra_phase1_4T,coop_pythia,2828469,637014,945203,2453895,0,76330,4120642,1503576,1
cassandra_phase2_4T,coop_pythia,1904349,492976,737419,1949424,0,57259,3528427,1368768,1
cassandra_phase3_4T,coop_pythia,2431701,627335,790770,2215605,0,68866,3754025,1471701,1
cassandra_phase4_4T,coop_pythia,3095421,707703,953889,2198998,0,90993,4120154,1437787,1
cassandra_phase5_4T,coop_pythia,2158215,584263,865570,1978491,0,51647,4024320,1367485,1
