Trace,Exp,Core_0_L2C_prefetch_issued,Core_0_L2C_prefetch_useful,Core_0_L2C_prefetch_useless,Core_0_L2C_total_miss,Core_0_LLC_prefetch_issued,Core_0_LLC_prefetch_useful,Core_0_LLC_prefetch_useless,Core_0_LLC_total_miss,Filter
cloud9_phase0_4T,nopref,0,0,0,917515,0,0,0,123655,1
cloud9_phase0_4T,spp,2261207,272340,5416,922085,0,300177,184908,205517,1
cloud9_phase0_4T,bingo,3109006,570654,114685,1002904,0,391333,1551099,458007,1
cloud9_phase0_4T,mlop,246462,80203,44887,940786,0,154919,245948,167548,1
cloud9_phase0_4T,pythia,3732223,637247,422347,1256307,0,35594,786432,190031,1
cloud9_phase0_4T,dspatch,5376584,776317,1741864,2276655,0,162037,2094901,498162,1
cloud9_phase0_4T,ppf,1469783,706772,249512,1132636,0,30701,764060,211479,1
cloud9_phase1_4T,nopref,0,0,0,827629,0,0,0,455217,1
cloud9_phase1_4T,spp,1169687,70971,2680,829929,0,345592,253624,462297,1
cloud9_phase1_4T,bingo,6832828,238473,218382,947937,0,922052,3178045,965967,1
cloud9_phase1_4T,mlop,1206820,82052,45071,875516,0,587391,1300425,673632,1
cloud9_phase1_4T,pythia,4140182,408093,1058582,1399171,0,180964,1437078,576188,1
cloud9_phase1_4T,dspatch,8692161,543716,5840669,3676043,0,447276,3886165,1027133,1
cloud9_phase1_4T,ppf,1448523,359868,585332,1158259,0,118896,1196889,539017,1
cloud9_phase2_4T,nopref,0,0,0,922371,0,0,0,263653,1
cloud9_phase2_4T,spp,2274618,265865,5574,927403,0,375641,273523,291918,1
cloud9_phase2_4T,bingo,2952696,575743,129181,1023530,0,798928,2505818,621055,1
cloud9_phase2_4T,mlop,295788,97649,44343,948803,0,403703,720248,405675,1
cloud9_phase2_4T,pythia,3807833,633235,417221,1263017,0,93207,1437393,372151,1
cloud9_phase2_4T,dspatch,4845829,818572,1566494,2153385,0,272610,3161938,625181,1
cloud9_phase2_4T,ppf,1448048,697835,249590,1142736,0,77529,1238619,381445,1
cloud9_phase3_4T,nopref,0,0,0,1138597,0,0,0,712083,1
cloud9_phase3_4T,spp,895404,39538,3944,1131713,0,418786,318417,746374,1
cloud9_phase3_4T,bingo,8868305,207915,326405,1326489,0,1123137,3657321,1540061,1
cloud9_phase3_4T,mlop,1571895,41780,28346,1163552,0,697713,1269711,1099530,1
cloud9_phase3_4T,pythia,4543595,521273,1338866,2044855,0,218834,1919906,933465,1
cloud9_phase3_4T,dspatch,10496597,543534,7285994,5687826,0,603602,4666189,1768357,1
cloud9_phase3_4T,ppf,1832909,352735,882369,1732284,0,178936,1531339,880470,1
cloud9_phase4_4T,nopref,0,0,0,935619,0,0,0,102248,1
cloud9_phase4_4T,spp,2257753,268400,6811,942371,0,185104,105308,156331,1
cloud9_phase4_4T,bingo,3051782,566679,120372,1030018,0,352401,1412629,428105,1
cloud9_phase4_4T,mlop,295250,97817,48873,962531,0,148384,183271,128717,1
cloud9_phase4_4T,pythia,3701234,638974,438458,1295729,0,39083,638630,173006,1
cloud9_phase4_4T,dspatch,5213041,819710,1806646,2389028,0,148946,1776474,480554,1
cloud9_phase4_4T,ppf,1471323,705723,250258,1155074,0,36816,664402,204062,1
cloud9_phase5_4T,nopref,0,0,0,274566,0,0,0,182636,1
cloud9_phase5_4T,spp,72929,1045,365,277128,0,170024,276915,222377,1
cloud9_phase5_4T,bingo,1449192,45762,40923,307008,0,840776,4419057,721523,1
cloud9_phase5_4T,mlop,153338,787,3079,276456,0,369261,691842,296190,1
cloud9_phase5_4T,pythia,902785,107226,220548,460501,0,79014,1581773,301207,1
cloud9_phase5_4T,dspatch,2778443,135605,1223798,1224263,0,208172,4743662,650850,1
cloud9_phase5_4T,ppf,344907,54585,156080,411171,0,66039,1435886,283421,1
cloud9_phase0_4T,coop_pythia,1536647,379204,338366,1194802,0,37299,391419,170079,1
cloud9_phase1_4T,coop_pythia,2503410,338655,935251,1486258,0,180182,990687,647885,1
cloud9_phase2_4T,coop_pythia,1538121,373628,330475,1199917,0,94555,927288,355720,1
cloud9_phase3_4T,coop_pythia,2987705,433210,1191147,1889920,0,225154,1345340,952933,1
cloud9_phase4_4T,coop_pythia,1558110,388483,335420,1212986,0,36140,329159,152464,1
cloud9_phase5_4T,coop_pythia,795202,98515,185436,422271,0,69464,1329196,278508,1
