Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_1_LLC_total_miss,Core_1_LLC_load_miss,Core_1_LLC_RFO_miss,Core_1_LLC_writeback_miss,Core_2_LLC_total_miss,Core_2_LLC_load_miss,Core_2_LLC_RFO_miss,Core_2_LLC_writeback_miss,Core_3_LLC_total_miss,Core_3_LLC_load_miss,Core_3_LLC_RFO_miss,Core_3_LLC_writeback_miss,Filter
nutch_phase0_1T,nopref,0.31115,0.32589,0.32126,0.32631,592849,341917,48856,202076,674625,380891,53010,240724,715798,405752,51703,258343,584798,337363,43238,204197,1
nutch_phase0_1T,spp,0.32164,0.34001,0.33665,0.33786,502015,103495,49820,22166,518002,81327,56621,24238,542783,84047,52596,24858,487570,98261,43780,19127,1
nutch_phase0_1T,bingo,0.32248,0.34099,0.33696,0.33903,653059,99576,47873,180087,701599,74970,54199,216168,797689,85889,51195,234608,635393,91829,42738,177515,1
nutch_phase0_1T,mlop,0.32314,0.34174,0.33834,0.33975,671251,71581,43067,75334,674662,54471,53549,85025,735453,58845,48965,93780,646293,67075,38595,68762,1
nutch_phase0_1T,pythia,0.32457,0.34259,0.33897,0.34145,644020,52377,46376,175403,702201,39996,53725,208902,757727,49370,50872,225326,630646,46498,41315,177250,1
nutch_phase0_1T,dspatch,0.3177,0.33619,0.33318,0.3339,960882,146741,44643,133974,936904,133591,53676,159000,973727,130299,49108,174443,943603,142102,40158,150353,1
nutch_phase0_1T,ppf,0.32381,0.34179,0.33853,0.34059,766842,58759,44715,166236,804614,48176,53604,199037,861914,54471,50003,213298,753800,54220,39999,178851,1
nutch_phase1_1T,nopref,0.3256,0.32951,0.31784,0.32302,688314,386209,52659,249446,326159,203249,40802,82108,632294,352895,59576,219823,679226,391896,58131,229199,1
nutch_phase1_1T,spp,0.34044,0.33429,0.32963,0.33755,520947,76978,55126,21543,355909,104220,40529,12553,510652,87256,64282,20149,541118,83935,62117,25756,1
nutch_phase1_1T,bingo,0.34125,0.33628,0.33074,0.33864,737066,78858,52547,221214,396229,104429,38546,72457,662682,85057,59898,194708,700570,81230,59287,204257,1
nutch_phase1_1T,mlop,0.34215,0.33608,0.33133,0.33954,694793,54061,50847,95527,523829,70370,31098,32090,674995,59953,57903,87511,708732,55831,57639,92126,1
nutch_phase1_1T,pythia,0.34288,0.33885,0.33269,0.34036,714907,43930,52180,212202,389893,49374,36859,70569,670367,42011,59188,196294,699736,41514,58681,193299,1
nutch_phase1_1T,dspatch,0.33676,0.3294,0.32512,0.33285,961353,130939,52701,164712,821771,137569,34521,58294,991648,147819,60699,155951,1023122,152642,60741,146960,1
nutch_phase1_1T,ppf,0.34228,0.33755,0.33167,0.33963,821737,50685,51798,210888,542692,55892,35153,68865,797379,52351,59294,194607,824346,50480,58721,193681,1
nutch_phase2_1T,nopref,0.41729,1.51286,1.52886,1.4325,1459850,1226414,171070,62366,2191,1888,185,118,11,6,5,0,8,8,0,0,1
nutch_phase2_1T,spp,0.48125,1.51314,1.52886,1.4325,1643714,646525,225560,6473,2988,1653,198,161,12,6,5,0,12,8,0,0,1
nutch_phase2_1T,bingo,0.53026,1.51314,1.52886,1.4325,2093280,216308,221851,78736,2330,1702,186,144,11,6,5,0,8,8,0,0,1
nutch_phase2_1T,mlop,0.51473,1.5137,1.52886,1.4325,1936103,273698,223111,30155,4320,1274,160,85,11,6,5,0,8,8,0,0,1
nutch_phase2_1T,pythia,0.52836,1.51322,1.52887,1.4325,1728423,291668,196840,53944,5195,1705,208,346,15,3,5,0,14,3,0,0,1
nutch_phase2_1T,dspatch,0.5083,1.51214,1.52886,1.4325,2176057,422454,221409,49783,11618,2568,236,580,11,6,5,0,33,8,0,0,1
nutch_phase2_1T,ppf,0.53703,1.51302,1.52887,1.43249,1769922,225985,205384,52903,4557,1822,196,289,15,5,5,0,21,7,0,0,1
nutch_phase3_1T,nopref,0.3224,0.32865,0.35399,0.32193,573375,340885,53950,178540,910915,653373,49304,208238,484407,285673,43521,155213,628630,375692,54513,198425,1
nutch_phase3_1T,spp,0.33253,0.3527,0.36425,0.33405,504100,121258,53474,20450,793611,140767,51080,20801,426503,104128,44585,18940,544872,116875,58429,20202,1
nutch_phase3_1T,bingo,0.33333,0.35499,0.36502,0.33418,609875,121931,51478,155857,969630,124976,48826,184501,536585,107928,42120,146509,682883,124900,55319,172705,1
nutch_phase3_1T,mlop,0.33465,0.35785,0.36688,0.33647,687535,80096,45503,64535,1012903,78321,46723,70074,597225,68437,38819,65188,755686,78735,53291,71196,1
nutch_phase3_1T,pythia,0.33633,0.35753,0.36842,0.33769,630536,61764,51351,156668,958233,70278,48080,172328,543817,54202,41321,138211,690636,62555,53813,166933,1
nutch_phase3_1T,dspatch,0.32902,0.35057,0.36089,0.32903,946050,155931,48511,133269,1229653,171349,48247,115920,823144,136899,39891,112370,1045462,177703,55382,110746,1
nutch_phase3_1T,ppf,0.33571,0.35748,0.36774,0.33674,752909,63529,49724,151863,1085114,75752,47679,166974,655453,57222,40173,131987,838412,70589,54403,163185,1
nutch_phase4_1T,nopref,0.32613,0.32352,0.32009,0.30893,675261,384545,57922,232794,611869,356529,57806,197534,754395,417832,69885,266678,640983,362480,69277,209226,1
nutch_phase4_1T,spp,0.33994,0.33496,0.33616,0.3195,539555,101015,57725,27517,525776,109596,60846,26333,578063,82437,73101,30306,539431,105664,71041,28545,1
nutch_phase4_1T,bingo,0.33984,0.33612,0.33629,0.31951,744759,109982,57044,212150,667255,107574,58970,170711,786449,91234,70525,244925,687113,124659,69369,188662,1
nutch_phase4_1T,mlop,0.34173,0.33743,0.33801,0.32127,740737,69774,53475,83872,717846,68754,55073,63989,742571,57960,69807,96150,731149,72977,64507,67456,1
nutch_phase4_1T,pythia,0.34299,0.3388,0.33909,0.32253,734329,57171,56086,207997,671976,56165,56559,171073,772737,44547,70432,227269,704720,59042,67689,190546,1
nutch_phase4_1T,dspatch,0.3355,0.33068,0.33268,0.31512,1013065,156392,53957,154530,989576,162378,55895,123821,1018416,139875,70547,169672,1032266,162605,67026,135994,1
nutch_phase4_1T,ppf,0.3425,0.33807,0.33874,0.32196,846425,60737,55253,197228,790800,60032,57415,163214,867144,48517,70598,222594,828921,61494,66618,181656,1
nutch_phase5_1T,nopref,0.62993,0.60426,0.48522,0.63858,202308,135964,21080,45264,214779,144786,18695,51298,243096,158948,31184,52964,140402,99516,19296,21590,1
nutch_phase5_1T,spp,0.64544,0.62081,0.49611,0.64832,191769,34804,22358,6281,204497,38356,20136,5039,239385,50755,30821,8561,163254,42321,19651,4459,1
nutch_phase5_1T,bingo,0.646,0.62164,0.49675,0.64936,235319,36921,21704,61772,249412,43394,18654,63220,299016,54693,29686,55872,177915,46335,19544,32129,1
nutch_phase5_1T,mlop,0.64848,0.62358,0.49787,0.65146,264950,21106,20640,22139,296595,24684,18647,29269,332981,36236,26075,24891,249484,27656,16986,14934,1
nutch_phase5_1T,pythia,0.64905,0.62488,0.49895,0.65393,224621,18414,21487,42674,242876,21349,18904,45596,292480,33445,29771,50182,170211,20882,18836,14452,1
nutch_phase5_1T,dspatch,0.64004,0.61457,0.4912,0.64064,336332,54553,20904,31275,395772,60710,19430,43097,468724,73880,27994,42835,344027,61572,17869,18115,1
nutch_phase5_1T,ppf,0.64784,0.62355,0.49859,0.65207,270814,21091,21134,45214,299762,25149,19358,49383,356196,32027,28673,50012,236799,24733,18279,16935,1
nutch_phase0_1T,coop_pythia,0.34551,0.36201,0.35799,0.36069,602760,93341,47627,180501,682258,91896,53518,218770,736502,103851,51409,243052,608896,90976,42522,192256,1
nutch_phase1_1T,coop_pythia,0.3615,0.35884,0.35213,0.35863,702378,103600,52516,230781,353014,76405,38674,73705,643560,90329,59680,201456,691583,96415,58855,213251,1
nutch_phase2_1T,coop_pythia,0.50873,1.51319,1.52891,1.43251,1669956,432813,189740,51561,3912,1685,196,271,14,3,5,0,10,5,0,0,1
nutch_phase3_1T,coop_pythia,0.35584,0.36653,0.38894,0.35598,600820,105428,52486,167984,937335,246677,48962,190240,514025,94719,42378,145986,656038,112872,54164,181544,1
nutch_phase4_1T,coop_pythia,0.36155,0.35743,0.35737,0.34233,703825,111195,57390,220222,640913,106028,57190,186685,769508,103212,70662,252486,660836,107391,68317,190288,1
nutch_phase5_1T,coop_pythia,0.67592,0.65153,0.52596,0.68245,212590,38162,21545,42160,229953,40154,18648,47043,263273,48108,30737,47354,157170,33312,19174,19586,1
