Trace,Exp,Core_0_L2C_prefetch_issued,Core_0_L2C_prefetch_useful,Core_0_L2C_prefetch_useless,Core_0_L2C_total_miss,Core_0_LLC_prefetch_issued,Core_0_LLC_prefetch_useful,Core_0_LLC_prefetch_useless,Core_0_LLC_total_miss,Filter
streaming_phase0_4T,nopref,0,0,0,1522044,0,0,0,654063,1
streaming_phase0_4T,spp,8447594,162233,15744,1529933,0,1362007,2695459,975133,1
streaming_phase0_4T,bingo,5245865,874240,92366,1614246,0,468848,4276195,861814,1
streaming_phase0_4T,mlop,1832103,325124,236489,1704814,0,955964,6296702,1388094,1
streaming_phase0_4T,pythia,13647118,841573,774162,2312460,0,91208,4433165,859573,1
streaming_phase0_4T,dspatch,22960437,1184833,6016162,6692753,0,209387,8298919,1707677,1
streaming_phase0_4T,ppf,14005462,1212367,2194254,3773903,0,134855,6401797,1162551,1
streaming_phase1_4T,nopref,0,0,0,1221150,0,0,0,591172,1
streaming_phase1_4T,spp,9141673,82830,16588,1252070,0,739005,1390952,789750,1
streaming_phase1_4T,bingo,5720945,603647,73315,1280616,0,447295,2269800,756360,1
streaming_phase1_4T,mlop,1871726,349005,229123,1413797,0,619214,4361888,1234887,1
streaming_phase1_4T,pythia,14256995,644704,674968,1919876,0,58981,2523345,689301,1
streaming_phase1_4T,dspatch,28084396,956451,6832637,6953756,0,192968,4835285,1247340,1
streaming_phase1_4T,ppf,15686270,775553,2201523,3225681,0,106739,3692254,914399,1
streaming_phase2_4T,nopref,0,0,0,1289853,0,0,0,609049,1
streaming_phase2_4T,spp,8503779,67789,18080,1230825,0,808703,1563301,821129,1
streaming_phase2_4T,bingo,5588797,569500,73870,1342575,0,442273,2560087,784512,1
streaming_phase2_4T,mlop,1855750,292995,226152,1462334,0,775238,4940664,1313328,1
streaming_phase2_4T,pythia,13518298,607725,683251,1952750,0,61330,2794487,714325,1
streaming_phase2_4T,dspatch,26764627,936113,6883162,7138967,0,197355,5571552,1335426,1
streaming_phase2_4T,ppf,15361650,768113,2248644,3392271,0,112791,4173373,981562,1
streaming_phase3_4T,nopref,0,0,0,1396987,0,0,0,662532,1
streaming_phase3_4T,spp,9215923,40777,20902,1402980,0,681616,1075236,856311,1
streaming_phase3_4T,bingo,6835578,648806,99590,1506334,0,545714,2072845,886638,1
streaming_phase3_4T,mlop,2321320,235452,262111,1655558,0,994350,5193042,1608046,1
streaming_phase3_4T,pythia,15640178,685421,909258,2356426,0,67105,2403460,793108,1
streaming_phase3_4T,dspatch,30837679,1050540,8163012,8116733,0,235120,6184962,1621826,1
streaming_phase3_4T,ppf,17891838,883157,3024069,4235344,0,127009,4134465,1134874,1
streaming_phase4_4T,nopref,0,0,0,1272940,0,0,0,564418,1
streaming_phase4_4T,spp,8388230,37398,18758,1278700,0,855195,1698054,779905,1
streaming_phase4_4T,bingo,6036188,548213,69074,1324074,0,441689,2686071,734909,1
streaming_phase4_4T,mlop,1699771,281288,209396,1457697,0,599775,4717698,1180872,1
streaming_phase4_4T,pythia,13919101,587643,721627,2100671,0,61087,2936383,660463,1
streaming_phase4_4T,dspatch,28639777,975930,7757663,8111254,0,192304,5231755,1232686,1
streaming_phase4_4T,ppf,16359587,869761,2805681,4407224,0,108800,4173701,913905,1
streaming_phase5_4T,nopref,0,0,0,1595369,0,0,0,724442,1
streaming_phase5_4T,spp,9057425,97399,18215,1681370,0,757410,1197445,900116,1
streaming_phase5_4T,bingo,6095771,795268,83908,1689125,0,476377,2150548,920424,1
streaming_phase5_4T,mlop,1970983,368294,264124,1826762,0,682146,4104522,1378214,1
streaming_phase5_4T,pythia,13800833,762946,812241,2534788,0,78750,2542516,902498,1
streaming_phase5_4T,dspatch,27050994,1178847,8013005,8941829,0,210177,5163987,1564386,1
streaming_phase5_4T,ppf,15352766,1038875,2698475,4488855,0,118784,3834866,1163349,1
streaming_phase0_4T,coop_pythia,9645095,571515,627708,2270134,0,69889,4125811,793785,1
streaming_phase1_4T,coop_pythia,11115651,429208,396736,1700665,0,44361,2411141,646394,1
streaming_phase2_4T,coop_pythia,10715959,423511,377674,1642004,0,49020,2638820,668820,1
streaming_phase3_4T,coop_pythia,12248673,473260,515172,2003458,0,50543,2193705,747896,1
streaming_phase4_4T,coop_pythia,11395496,397646,410836,1789071,0,47658,2754740,610908,1
streaming_phase5_4T,coop_pythia,10722964,510335,501354,2185359,0,66418,2320977,826482,1
